id,title,description,availability,condition,price,link,image_link,additional_image_link,brand,google_product_category,product_type,item_group_id,size,mpn,gtin
69997d031753ea2e5ae2c651_S,Imperial Crest Panjabi (Heritage Olive) - S,"Fit Type: Slim Fit A refined expression of modern luxury, the Imperial Crest Panjabi is designed to deliver a premium festive look with elevated detailing. Crafted from Regent Comfort Twill fabric, this style combines structured elegance with everyday comfort, featuring signature embroidery that enhances its sophisticated appearance. Key Features: Premium luxury embroidery around collar, placket, and cuff Dual-layer placket design for a clean, posh finish Non-functional display buttons blended seamlessly with embroidery Hidden functional inner placket with premium designed metal snaps Matching premium metal snaps at cuff Side pockets on both sides for everyday convenience Structured yet comfortable silhouette for modern styling Delivered with over 50% recycled polybag packaging Fabric: Regent Comfort Twill 65% Cotton 35% Polyester GSM: 200",in stock,new,3850 BDT,https://www.clothigo.com/product-details/imperial-crest-panjabi-heritage-olive,https://api.clothigo.com/api/upload/images/693a8a2cd4a8b0311cc0b93a/hml02687-2-12cb.webp?resolution=1200_1500,https://api.clothigo.com/api/upload/images/693a8a2cd4a8b0311cc0b93a/hml02691-d371.webp?resolution=1200_1500 | https://api.clothigo.com/api/upload/images/693a8a2cd4a8b0311cc0b93a/hml02688-9e1c.webp?resolution=1200_1500,ClothiGo,Apparel & Accessories > Clothing,Panjabi > SignatureLine Punjabi,69997d031753ea2e5ae2c651,S,CG1244,VC66215038000989
69997d031753ea2e5ae2c651_M,Imperial Crest Panjabi (Heritage Olive) - M,"Fit Type: Slim Fit A refined expression of modern luxury, the Imperial Crest Panjabi is designed to deliver a premium festive look with elevated detailing. Crafted from Regent Comfort Twill fabric, this style combines structured elegance with everyday comfort, featuring signature embroidery that enhances its sophisticated appearance. Key Features: Premium luxury embroidery around collar, placket, and cuff Dual-layer placket design for a clean, posh finish Non-functional display buttons blended seamlessly with embroidery Hidden functional inner placket with premium designed metal snaps Matching premium metal snaps at cuff Side pockets on both sides for everyday convenience Structured yet comfortable silhouette for modern styling Delivered with over 50% recycled polybag packaging Fabric: Regent Comfort Twill 65% Cotton 35% Polyester GSM: 200",in stock,new,3850 BDT,https://www.clothigo.com/product-details/imperial-crest-panjabi-heritage-olive,https://api.clothigo.com/api/upload/images/693a8a2cd4a8b0311cc0b93a/hml02687-2-12cb.webp?resolution=1200_1500,https://api.clothigo.com/api/upload/images/693a8a2cd4a8b0311cc0b93a/hml02691-d371.webp?resolution=1200_1500 | https://api.clothigo.com/api/upload/images/693a8a2cd4a8b0311cc0b93a/hml02688-9e1c.webp?resolution=1200_1500,ClothiGo,Apparel & Accessories > Clothing,Panjabi > SignatureLine Punjabi,69997d031753ea2e5ae2c651,M,CG1244,VC66221962001610
69997d031753ea2e5ae2c651_L,Imperial Crest Panjabi (Heritage Olive) - L,"Fit Type: Slim Fit A refined expression of modern luxury, the Imperial Crest Panjabi is designed to deliver a premium festive look with elevated detailing. Crafted from Regent Comfort Twill fabric, this style combines structured elegance with everyday comfort, featuring signature embroidery that enhances its sophisticated appearance. Key Features: Premium luxury embroidery around collar, placket, and cuff Dual-layer placket design for a clean, posh finish Non-functional display buttons blended seamlessly with embroidery Hidden functional inner placket with premium designed metal snaps Matching premium metal snaps at cuff Side pockets on both sides for everyday convenience Structured yet comfortable silhouette for modern styling Delivered with over 50% recycled polybag packaging Fabric: Regent Comfort Twill 65% Cotton 35% Polyester GSM: 200",in stock,new,3850 BDT,https://www.clothigo.com/product-details/imperial-crest-panjabi-heritage-olive,https://api.clothigo.com/api/upload/images/693a8a2cd4a8b0311cc0b93a/hml02687-2-12cb.webp?resolution=1200_1500,https://api.clothigo.com/api/upload/images/693a8a2cd4a8b0311cc0b93a/hml02691-d371.webp?resolution=1200_1500 | https://api.clothigo.com/api/upload/images/693a8a2cd4a8b0311cc0b93a/hml02688-9e1c.webp?resolution=1200_1500,ClothiGo,Apparel & Accessories > Clothing,Panjabi > SignatureLine Punjabi,69997d031753ea2e5ae2c651,L,CG1244,VC66226047002517
69997d031753ea2e5ae2c651_XL,Imperial Crest Panjabi (Heritage Olive) - XL,"Fit Type: Slim Fit A refined expression of modern luxury, the Imperial Crest Panjabi is designed to deliver a premium festive look with elevated detailing. Crafted from Regent Comfort Twill fabric, this style combines structured elegance with everyday comfort, featuring signature embroidery that enhances its sophisticated appearance. Key Features: Premium luxury embroidery around collar, placket, and cuff Dual-layer placket design for a clean, posh finish Non-functional display buttons blended seamlessly with embroidery Hidden functional inner placket with premium designed metal snaps Matching premium metal snaps at cuff Side pockets on both sides for everyday convenience Structured yet comfortable silhouette for modern styling Delivered with over 50% recycled polybag packaging Fabric: Regent Comfort Twill 65% Cotton 35% Polyester GSM: 200",in stock,new,3850 BDT,https://www.clothigo.com/product-details/imperial-crest-panjabi-heritage-olive,https://api.clothigo.com/api/upload/images/693a8a2cd4a8b0311cc0b93a/hml02687-2-12cb.webp?resolution=1200_1500,https://api.clothigo.com/api/upload/images/693a8a2cd4a8b0311cc0b93a/hml02691-d371.webp?resolution=1200_1500 | https://api.clothigo.com/api/upload/images/693a8a2cd4a8b0311cc0b93a/hml02688-9e1c.webp?resolution=1200_1500,ClothiGo,Apparel & Accessories > Clothing,Panjabi > SignatureLine Punjabi,69997d031753ea2e5ae2c651,XL,CG1244,VC66231713003591
69997e161753ea2e5ae2c6d0_S,Imperial Crest Panjabi (Classic Ecru) - S,"Fit Type: Slim Fit A refined expression of modern luxury, the Imperial Crest Panjabi is designed to deliver a premium festive look with elevated detailing. Crafted from Regent Comfort Twill fabric, this style combines structured elegance with everyday comfort, featuring signature embroidery that enhances its sophisticated appearance. Key Features: Premium luxury embroidery around collar, placket, and cuff Dual-layer placket design for a clean, posh finish Non-functional display buttons blended seamlessly with embroidery Hidden functional inner placket with premium designed metal snaps Matching premium metal snaps at cuff Side pockets on both sides for everyday convenience Structured yet comfortable silhouette for modern styling Delivered with over 50% recycled polybag packaging Fabric: Regent Comfort Twill 65% Cotton 35% Polyester GSM: 200",in stock,new,3850 BDT,https://www.clothigo.com/product-details/imperial-crest-panjabi-classic-ecru,https://api.clothigo.com/api/upload/images/693a8a2cd4a8b0311cc0b93a/hml02701-8c7d.webp?resolution=1200_1500,https://api.clothigo.com/api/upload/images/693a8a2cd4a8b0311cc0b93a/hml02703-fcd2.webp?resolution=1200_1500 | https://api.clothigo.com/api/upload/images/693a8a2cd4a8b0311cc0b93a/hml02702-da19.webp?resolution=1200_1500,ClothiGo,Apparel & Accessories > Clothing,Panjabi > SignatureLine Punjabi,69997e161753ea2e5ae2c6d0,S,CG44,VC66894679000648
69997e161753ea2e5ae2c6d0_M,Imperial Crest Panjabi (Classic Ecru) - M,"Fit Type: Slim Fit A refined expression of modern luxury, the Imperial Crest Panjabi is designed to deliver a premium festive look with elevated detailing. Crafted from Regent Comfort Twill fabric, this style combines structured elegance with everyday comfort, featuring signature embroidery that enhances its sophisticated appearance. Key Features: Premium luxury embroidery around collar, placket, and cuff Dual-layer placket design for a clean, posh finish Non-functional display buttons blended seamlessly with embroidery Hidden functional inner placket with premium designed metal snaps Matching premium metal snaps at cuff Side pockets on both sides for everyday convenience Structured yet comfortable silhouette for modern styling Delivered with over 50% recycled polybag packaging Fabric: Regent Comfort Twill 65% Cotton 35% Polyester GSM: 200",in stock,new,3850 BDT,https://www.clothigo.com/product-details/imperial-crest-panjabi-classic-ecru,https://api.clothigo.com/api/upload/images/693a8a2cd4a8b0311cc0b93a/hml02701-8c7d.webp?resolution=1200_1500,https://api.clothigo.com/api/upload/images/693a8a2cd4a8b0311cc0b93a/hml02703-fcd2.webp?resolution=1200_1500 | https://api.clothigo.com/api/upload/images/693a8a2cd4a8b0311cc0b93a/hml02702-da19.webp?resolution=1200_1500,ClothiGo,Apparel & Accessories > Clothing,Panjabi > SignatureLine Punjabi,69997e161753ea2e5ae2c6d0,M,CG44,VC66894679001040
69997e161753ea2e5ae2c6d0_L,Imperial Crest Panjabi (Classic Ecru) - L,"Fit Type: Slim Fit A refined expression of modern luxury, the Imperial Crest Panjabi is designed to deliver a premium festive look with elevated detailing. Crafted from Regent Comfort Twill fabric, this style combines structured elegance with everyday comfort, featuring signature embroidery that enhances its sophisticated appearance. Key Features: Premium luxury embroidery around collar, placket, and cuff Dual-layer placket design for a clean, posh finish Non-functional display buttons blended seamlessly with embroidery Hidden functional inner placket with premium designed metal snaps Matching premium metal snaps at cuff Side pockets on both sides for everyday convenience Structured yet comfortable silhouette for modern styling Delivered with over 50% recycled polybag packaging Fabric: Regent Comfort Twill 65% Cotton 35% Polyester GSM: 200",in stock,new,3850 BDT,https://www.clothigo.com/product-details/imperial-crest-panjabi-classic-ecru,https://api.clothigo.com/api/upload/images/693a8a2cd4a8b0311cc0b93a/hml02701-8c7d.webp?resolution=1200_1500,https://api.clothigo.com/api/upload/images/693a8a2cd4a8b0311cc0b93a/hml02703-fcd2.webp?resolution=1200_1500 | https://api.clothigo.com/api/upload/images/693a8a2cd4a8b0311cc0b93a/hml02702-da19.webp?resolution=1200_1500,ClothiGo,Apparel & Accessories > Clothing,Panjabi > SignatureLine Punjabi,69997e161753ea2e5ae2c6d0,L,CG44,VC66898294002245
69997e161753ea2e5ae2c6d0_XL,Imperial Crest Panjabi (Classic Ecru) - XL,"Fit Type: Slim Fit A refined expression of modern luxury, the Imperial Crest Panjabi is designed to deliver a premium festive look with elevated detailing. Crafted from Regent Comfort Twill fabric, this style combines structured elegance with everyday comfort, featuring signature embroidery that enhances its sophisticated appearance. Key Features: Premium luxury embroidery around collar, placket, and cuff Dual-layer placket design for a clean, posh finish Non-functional display buttons blended seamlessly with embroidery Hidden functional inner placket with premium designed metal snaps Matching premium metal snaps at cuff Side pockets on both sides for everyday convenience Structured yet comfortable silhouette for modern styling Delivered with over 50% recycled polybag packaging Fabric: Regent Comfort Twill 65% Cotton 35% Polyester GSM: 200",in stock,new,3850 BDT,https://www.clothigo.com/product-details/imperial-crest-panjabi-classic-ecru,https://api.clothigo.com/api/upload/images/693a8a2cd4a8b0311cc0b93a/hml02701-8c7d.webp?resolution=1200_1500,https://api.clothigo.com/api/upload/images/693a8a2cd4a8b0311cc0b93a/hml02703-fcd2.webp?resolution=1200_1500 | https://api.clothigo.com/api/upload/images/693a8a2cd4a8b0311cc0b93a/hml02702-da19.webp?resolution=1200_1500,ClothiGo,Apparel & Accessories > Clothing,Panjabi > SignatureLine Punjabi,69997e161753ea2e5ae2c6d0,XL,CG44,VC66901710003430
69997efc1753ea2e5ae2c707_S,Imperial Crest Panjabi (Z-Black) - S,"Fit Type: Slim Fit A refined expression of modern luxury, the Imperial Crest Panjabi is designed to deliver a premium festive look with elevated detailing. Crafted from Regent Comfort Twill fabric, this style combines structured elegance with everyday comfort, featuring signature embroidery that enhances its sophisticated appearance. Key Features: Premium luxury embroidery around collar, placket, and cuff Dual-layer placket design for a clean, posh finish Non-functional display buttons blended seamlessly with embroidery Hidden functional inner placket with premium designed metal snaps Matching premium metal snaps at cuff Side pockets on both sides for everyday convenience Structured yet comfortable silhouette for modern styling Delivered with over 50% recycled polybag packaging Fabric: Regent Comfort Twill 65% Cotton 35% Polyester GSM: 200",in stock,new,3850 BDT,https://www.clothigo.com/product-details/imperial-crest-panjabi-z-black,https://api.clothigo.com/api/upload/images/693a8a2cd4a8b0311cc0b93a/hml02683-dcab.webp?resolution=1200_1500,https://api.clothigo.com/api/upload/images/693a8a2cd4a8b0311cc0b93a/hml02693-0c97.webp?resolution=1200_1500 | https://api.clothigo.com/api/upload/images/693a8a2cd4a8b0311cc0b93a/hml02679-df6b.webp?resolution=1200_1500,ClothiGo,Apparel & Accessories > Clothing,Panjabi > SignatureLine Punjabi,69997efc1753ea2e5ae2c707,S,CG1244,VC67136009000588
69997efc1753ea2e5ae2c707_M,Imperial Crest Panjabi (Z-Black) - M,"Fit Type: Slim Fit A refined expression of modern luxury, the Imperial Crest Panjabi is designed to deliver a premium festive look with elevated detailing. Crafted from Regent Comfort Twill fabric, this style combines structured elegance with everyday comfort, featuring signature embroidery that enhances its sophisticated appearance. Key Features: Premium luxury embroidery around collar, placket, and cuff Dual-layer placket design for a clean, posh finish Non-functional display buttons blended seamlessly with embroidery Hidden functional inner placket with premium designed metal snaps Matching premium metal snaps at cuff Side pockets on both sides for everyday convenience Structured yet comfortable silhouette for modern styling Delivered with over 50% recycled polybag packaging Fabric: Regent Comfort Twill 65% Cotton 35% Polyester GSM: 200",in stock,new,3850 BDT,https://www.clothigo.com/product-details/imperial-crest-panjabi-z-black,https://api.clothigo.com/api/upload/images/693a8a2cd4a8b0311cc0b93a/hml02683-dcab.webp?resolution=1200_1500,https://api.clothigo.com/api/upload/images/693a8a2cd4a8b0311cc0b93a/hml02693-0c97.webp?resolution=1200_1500 | https://api.clothigo.com/api/upload/images/693a8a2cd4a8b0311cc0b93a/hml02679-df6b.webp?resolution=1200_1500,ClothiGo,Apparel & Accessories > Clothing,Panjabi > SignatureLine Punjabi,69997efc1753ea2e5ae2c707,M,CG1244,VC67136009001153
