id,title,description,availability,condition,price,link,image_link,brand,google_product_category,item_group_id,size,additional_image_link,product_type,mpn,sale_price
69997d031753ea2e5ae2c651_S,Imperial Crest Panjabi (Heritage Olive) - S,"Fit Type: Slim Fit A refined expression of modern luxury, the Imperial Crest Panjabi is designed to deliver a premium festive look with elevated detailing. Crafted from Regent Comfort Twill fabric, this style combines structured elegance with everyday comfort, featuring signature embroidery that enhances its sophisticated appearance. Key Features: Premium luxury embroidery around collar, placket, and cuff Dual-layer placket design for a clean, posh finish Non-functional display buttons blended seamlessly with embroidery Hidden functional inner placket with premium designed metal snaps Matching premium metal snaps at cuff Side pockets on both sides for everyday convenience Structured yet comfortable silhouette for modern styling Delivered with over 50% recycled polybag packaging Fabric: Regent Comfort Twill 65% Cotton 35% Polyester GSM: 200",in stock,new,3850 BDT,https://www.clothigo.com/product/imperial-crest-panjabi-heritage-olive,https://api.clothigo.com/api/upload/images/693a8a2cd4a8b0311cc0b93a/hml02687-2-12cb.webp?resolution=1200_1500,ClothiGo,Apparel & Accessories > Clothing,69997d031753ea2e5ae2c651,S,"https://api.clothigo.com/api/upload/images/693a8a2cd4a8b0311cc0b93a/hml02691-d371.webp?resolution=1200_1500,https://api.clothigo.com/api/upload/images/693a8a2cd4a8b0311cc0b93a/hml02688-9e1c.webp?resolution=1200_1500",Panjabi > SignatureLine Punjabi,CG1244,3470 BDT
69997d031753ea2e5ae2c651_M,Imperial Crest Panjabi (Heritage Olive) - M,"Fit Type: Slim Fit A refined expression of modern luxury, the Imperial Crest Panjabi is designed to deliver a premium festive look with elevated detailing. Crafted from Regent Comfort Twill fabric, this style combines structured elegance with everyday comfort, featuring signature embroidery that enhances its sophisticated appearance. Key Features: Premium luxury embroidery around collar, placket, and cuff Dual-layer placket design for a clean, posh finish Non-functional display buttons blended seamlessly with embroidery Hidden functional inner placket with premium designed metal snaps Matching premium metal snaps at cuff Side pockets on both sides for everyday convenience Structured yet comfortable silhouette for modern styling Delivered with over 50% recycled polybag packaging Fabric: Regent Comfort Twill 65% Cotton 35% Polyester GSM: 200",in stock,new,3850 BDT,https://www.clothigo.com/product/imperial-crest-panjabi-heritage-olive,https://api.clothigo.com/api/upload/images/693a8a2cd4a8b0311cc0b93a/hml02687-2-12cb.webp?resolution=1200_1500,ClothiGo,Apparel & Accessories > Clothing,69997d031753ea2e5ae2c651,M,"https://api.clothigo.com/api/upload/images/693a8a2cd4a8b0311cc0b93a/hml02691-d371.webp?resolution=1200_1500,https://api.clothigo.com/api/upload/images/693a8a2cd4a8b0311cc0b93a/hml02688-9e1c.webp?resolution=1200_1500",Panjabi > SignatureLine Punjabi,CG1244,3470 BDT
69997d031753ea2e5ae2c651_L,Imperial Crest Panjabi (Heritage Olive) - L,"Fit Type: Slim Fit A refined expression of modern luxury, the Imperial Crest Panjabi is designed to deliver a premium festive look with elevated detailing. Crafted from Regent Comfort Twill fabric, this style combines structured elegance with everyday comfort, featuring signature embroidery that enhances its sophisticated appearance. Key Features: Premium luxury embroidery around collar, placket, and cuff Dual-layer placket design for a clean, posh finish Non-functional display buttons blended seamlessly with embroidery Hidden functional inner placket with premium designed metal snaps Matching premium metal snaps at cuff Side pockets on both sides for everyday convenience Structured yet comfortable silhouette for modern styling Delivered with over 50% recycled polybag packaging Fabric: Regent Comfort Twill 65% Cotton 35% Polyester GSM: 200",in stock,new,3850 BDT,https://www.clothigo.com/product/imperial-crest-panjabi-heritage-olive,https://api.clothigo.com/api/upload/images/693a8a2cd4a8b0311cc0b93a/hml02687-2-12cb.webp?resolution=1200_1500,ClothiGo,Apparel & Accessories > Clothing,69997d031753ea2e5ae2c651,L,"https://api.clothigo.com/api/upload/images/693a8a2cd4a8b0311cc0b93a/hml02691-d371.webp?resolution=1200_1500,https://api.clothigo.com/api/upload/images/693a8a2cd4a8b0311cc0b93a/hml02688-9e1c.webp?resolution=1200_1500",Panjabi > SignatureLine Punjabi,CG1244,3470 BDT
69997d031753ea2e5ae2c651_XL,Imperial Crest Panjabi (Heritage Olive) - XL,"Fit Type: Slim Fit A refined expression of modern luxury, the Imperial Crest Panjabi is designed to deliver a premium festive look with elevated detailing. Crafted from Regent Comfort Twill fabric, this style combines structured elegance with everyday comfort, featuring signature embroidery that enhances its sophisticated appearance. Key Features: Premium luxury embroidery around collar, placket, and cuff Dual-layer placket design for a clean, posh finish Non-functional display buttons blended seamlessly with embroidery Hidden functional inner placket with premium designed metal snaps Matching premium metal snaps at cuff Side pockets on both sides for everyday convenience Structured yet comfortable silhouette for modern styling Delivered with over 50% recycled polybag packaging Fabric: Regent Comfort Twill 65% Cotton 35% Polyester GSM: 200",in stock,new,3850 BDT,https://www.clothigo.com/product/imperial-crest-panjabi-heritage-olive,https://api.clothigo.com/api/upload/images/693a8a2cd4a8b0311cc0b93a/hml02687-2-12cb.webp?resolution=1200_1500,ClothiGo,Apparel & Accessories > Clothing,69997d031753ea2e5ae2c651,XL,"https://api.clothigo.com/api/upload/images/693a8a2cd4a8b0311cc0b93a/hml02691-d371.webp?resolution=1200_1500,https://api.clothigo.com/api/upload/images/693a8a2cd4a8b0311cc0b93a/hml02688-9e1c.webp?resolution=1200_1500",Panjabi > SignatureLine Punjabi,CG1244,3470 BDT
69997e161753ea2e5ae2c6d0_S,Imperial Crest Panjabi (Classic Ecru) - S,"Fit Type: Slim Fit A refined expression of modern luxury, the Imperial Crest Panjabi is designed to deliver a premium festive look with elevated detailing. Crafted from Regent Comfort Twill fabric, this style combines structured elegance with everyday comfort, featuring signature embroidery that enhances its sophisticated appearance. Key Features: Premium luxury embroidery around collar, placket, and cuff Dual-layer placket design for a clean, posh finish Non-functional display buttons blended seamlessly with embroidery Hidden functional inner placket with premium designed metal snaps Matching premium metal snaps at cuff Side pockets on both sides for everyday convenience Structured yet comfortable silhouette for modern styling Delivered with over 50% recycled polybag packaging Fabric: Regent Comfort Twill 65% Cotton 35% Polyester GSM: 200",in stock,new,3850 BDT,https://www.clothigo.com/product/imperial-crest-panjabi-classic-ecru,https://api.clothigo.com/api/upload/images/693a8a2cd4a8b0311cc0b93a/hml02701-8c7d.webp?resolution=1200_1500,ClothiGo,Apparel & Accessories > Clothing,69997e161753ea2e5ae2c6d0,S,"https://api.clothigo.com/api/upload/images/693a8a2cd4a8b0311cc0b93a/hml02703-fcd2.webp?resolution=1200_1500,https://api.clothigo.com/api/upload/images/693a8a2cd4a8b0311cc0b93a/hml02702-da19.webp?resolution=1200_1500",Panjabi > SignatureLine Punjabi,CG1244,3470 BDT
69997e161753ea2e5ae2c6d0_M,Imperial Crest Panjabi (Classic Ecru) - M,"Fit Type: Slim Fit A refined expression of modern luxury, the Imperial Crest Panjabi is designed to deliver a premium festive look with elevated detailing. Crafted from Regent Comfort Twill fabric, this style combines structured elegance with everyday comfort, featuring signature embroidery that enhances its sophisticated appearance. Key Features: Premium luxury embroidery around collar, placket, and cuff Dual-layer placket design for a clean, posh finish Non-functional display buttons blended seamlessly with embroidery Hidden functional inner placket with premium designed metal snaps Matching premium metal snaps at cuff Side pockets on both sides for everyday convenience Structured yet comfortable silhouette for modern styling Delivered with over 50% recycled polybag packaging Fabric: Regent Comfort Twill 65% Cotton 35% Polyester GSM: 200",in stock,new,3850 BDT,https://www.clothigo.com/product/imperial-crest-panjabi-classic-ecru,https://api.clothigo.com/api/upload/images/693a8a2cd4a8b0311cc0b93a/hml02701-8c7d.webp?resolution=1200_1500,ClothiGo,Apparel & Accessories > Clothing,69997e161753ea2e5ae2c6d0,M,"https://api.clothigo.com/api/upload/images/693a8a2cd4a8b0311cc0b93a/hml02703-fcd2.webp?resolution=1200_1500,https://api.clothigo.com/api/upload/images/693a8a2cd4a8b0311cc0b93a/hml02702-da19.webp?resolution=1200_1500",Panjabi > SignatureLine Punjabi,CG1244,3470 BDT
69997e161753ea2e5ae2c6d0_L,Imperial Crest Panjabi (Classic Ecru) - L,"Fit Type: Slim Fit A refined expression of modern luxury, the Imperial Crest Panjabi is designed to deliver a premium festive look with elevated detailing. Crafted from Regent Comfort Twill fabric, this style combines structured elegance with everyday comfort, featuring signature embroidery that enhances its sophisticated appearance. Key Features: Premium luxury embroidery around collar, placket, and cuff Dual-layer placket design for a clean, posh finish Non-functional display buttons blended seamlessly with embroidery Hidden functional inner placket with premium designed metal snaps Matching premium metal snaps at cuff Side pockets on both sides for everyday convenience Structured yet comfortable silhouette for modern styling Delivered with over 50% recycled polybag packaging Fabric: Regent Comfort Twill 65% Cotton 35% Polyester GSM: 200",in stock,new,3850 BDT,https://www.clothigo.com/product/imperial-crest-panjabi-classic-ecru,https://api.clothigo.com/api/upload/images/693a8a2cd4a8b0311cc0b93a/hml02701-8c7d.webp?resolution=1200_1500,ClothiGo,Apparel & Accessories > Clothing,69997e161753ea2e5ae2c6d0,L,"https://api.clothigo.com/api/upload/images/693a8a2cd4a8b0311cc0b93a/hml02703-fcd2.webp?resolution=1200_1500,https://api.clothigo.com/api/upload/images/693a8a2cd4a8b0311cc0b93a/hml02702-da19.webp?resolution=1200_1500",Panjabi > SignatureLine Punjabi,CG1244,3470 BDT
69997e161753ea2e5ae2c6d0_XL,Imperial Crest Panjabi (Classic Ecru) - XL,"Fit Type: Slim Fit A refined expression of modern luxury, the Imperial Crest Panjabi is designed to deliver a premium festive look with elevated detailing. Crafted from Regent Comfort Twill fabric, this style combines structured elegance with everyday comfort, featuring signature embroidery that enhances its sophisticated appearance. Key Features: Premium luxury embroidery around collar, placket, and cuff Dual-layer placket design for a clean, posh finish Non-functional display buttons blended seamlessly with embroidery Hidden functional inner placket with premium designed metal snaps Matching premium metal snaps at cuff Side pockets on both sides for everyday convenience Structured yet comfortable silhouette for modern styling Delivered with over 50% recycled polybag packaging Fabric: Regent Comfort Twill 65% Cotton 35% Polyester GSM: 200",in stock,new,3850 BDT,https://www.clothigo.com/product/imperial-crest-panjabi-classic-ecru,https://api.clothigo.com/api/upload/images/693a8a2cd4a8b0311cc0b93a/hml02701-8c7d.webp?resolution=1200_1500,ClothiGo,Apparel & Accessories > Clothing,69997e161753ea2e5ae2c6d0,XL,"https://api.clothigo.com/api/upload/images/693a8a2cd4a8b0311cc0b93a/hml02703-fcd2.webp?resolution=1200_1500,https://api.clothigo.com/api/upload/images/693a8a2cd4a8b0311cc0b93a/hml02702-da19.webp?resolution=1200_1500",Panjabi > SignatureLine Punjabi,CG1244,3470 BDT
69997efc1753ea2e5ae2c707_S,Imperial Crest Panjabi (Z-Black) - S,"Fit Type: Slim Fit A refined expression of modern luxury, the Imperial Crest Panjabi is designed to deliver a premium festive look with elevated detailing. Crafted from Regent Comfort Twill fabric, this style combines structured elegance with everyday comfort, featuring signature embroidery that enhances its sophisticated appearance. Key Features: Premium luxury embroidery around collar, placket, and cuff Dual-layer placket design for a clean, posh finish Non-functional display buttons blended seamlessly with embroidery Hidden functional inner placket with premium designed metal snaps Matching premium metal snaps at cuff Side pockets on both sides for everyday convenience Structured yet comfortable silhouette for modern styling Delivered with over 50% recycled polybag packaging Fabric: Regent Comfort Twill 65% Cotton 35% Polyester GSM: 200",in stock,new,3850 BDT,https://www.clothigo.com/product/imperial-crest-panjabi-z-black,https://api.clothigo.com/api/upload/images/693a8a2cd4a8b0311cc0b93a/hml02683-dcab.webp?resolution=1200_1500,ClothiGo,Apparel & Accessories > Clothing,69997efc1753ea2e5ae2c707,S,"https://api.clothigo.com/api/upload/images/693a8a2cd4a8b0311cc0b93a/hml02693-0c97.webp?resolution=1200_1500,https://api.clothigo.com/api/upload/images/693a8a2cd4a8b0311cc0b93a/hml02679-df6b.webp?resolution=1200_1500",Panjabi > SignatureLine Punjabi,CG1244,3470 BDT
69997efc1753ea2e5ae2c707_M,Imperial Crest Panjabi (Z-Black) - M,"Fit Type: Slim Fit A refined expression of modern luxury, the Imperial Crest Panjabi is designed to deliver a premium festive look with elevated detailing. Crafted from Regent Comfort Twill fabric, this style combines structured elegance with everyday comfort, featuring signature embroidery that enhances its sophisticated appearance. Key Features: Premium luxury embroidery around collar, placket, and cuff Dual-layer placket design for a clean, posh finish Non-functional display buttons blended seamlessly with embroidery Hidden functional inner placket with premium designed metal snaps Matching premium metal snaps at cuff Side pockets on both sides for everyday convenience Structured yet comfortable silhouette for modern styling Delivered with over 50% recycled polybag packaging Fabric: Regent Comfort Twill 65% Cotton 35% Polyester GSM: 200",in stock,new,3850 BDT,https://www.clothigo.com/product/imperial-crest-panjabi-z-black,https://api.clothigo.com/api/upload/images/693a8a2cd4a8b0311cc0b93a/hml02683-dcab.webp?resolution=1200_1500,ClothiGo,Apparel & Accessories > Clothing,69997efc1753ea2e5ae2c707,M,"https://api.clothigo.com/api/upload/images/693a8a2cd4a8b0311cc0b93a/hml02693-0c97.webp?resolution=1200_1500,https://api.clothigo.com/api/upload/images/693a8a2cd4a8b0311cc0b93a/hml02679-df6b.webp?resolution=1200_1500",Panjabi > SignatureLine Punjabi,CG1244,3470 BDT
